keyword,niche,priority
escultura decorativa,decoracao,5
decoracao minimalista,decoracao,5
enfeite de mesa,decoracao,4
presente personalizado,presentes,5
casal personalizado,presentes,5
Jesus decoracao,religioso,5
Nossa Senhora decoracao,religioso,5
Sao Miguel Arcanjo,religioso,4
cruz moderna parede,religioso,4
organizador de mesa,escritorio,4
suporte celular minimalista,escritorio,3
miniatura monumento,arquitetura,4
decoracao arquitetura,arquitetura,4
luminaria religiosa,religioso,5
vaso minimalista,decoracao,4
porta joias decorativo,decoracao,3
